PC1,PC2,PC3,PC4,PC5,PC6,term
-452362462417143,228885106175579,791002828924993,990605835372251,-393126769185794,-137734943896099,blues-rock
-447781532287929,265947560089798,857241720617115,-291523598392193,-473114980883761,-133576647612481,black metal
-443304215612302,826550341292486,484271751648329,-337226779200196,811594580746688,-129085460459534,free jazz
-443532488173062,200438024199227,-648425093215026,141340895819814,-693832649841305,-123449663114007,free jazz
-431466700940738,697496725071975,-162434922657566,-492913071404121,975511956354986,-120645635126571,heavy metal
-451282659554039,-336695482595231,-107965057143818,262094445499337,161502191624284,-118878141856492,instrumental rock
-436892641173518,588466888704366,-152814816000149,-196079799978929,281002817588925,-1189673201907,jazz funk
-428748483396772,524509654307191,400024964581592,-566559107775853,795209552587374,-113359472512959,deep house
-431419605116602,335007404841277,163463873133866,-189645360226901,-105738815326896,-108115025982974,alternative metal
-40798132069952,126951578689453,-962360591503086,-104741799603471,893175543016855,-10597809441578,bebop
-423371752764255,674267758935947,111042962343285,500839389280777,510569620851912,-103608350506243,electric blues
-419640289951555,-286016577698538,131070081362795,-122666571387824,950693303753997,-994133030805721,heavy metal
-435846639148163,-518016395271668,-154916396863843,-348790788676766,-976845548012144,-970524566687903,dark ambient
-15149043311284,-397994326731256,-102836856280162,565690821114826,885261424733263,181217296178971,brill building pop
-430909531061727,-848434985733346,214649880987449,350562436967931,684221542250692,-949276971335571,alternative metal
-428867209211952,-87313566698739,-127178950026674,909049232339079,127588632589481,-950822783201613,dance pop
-414554918149073,725291907778003,-293204325105919,310957771120945,393269329788142,-9466714617347,trip hop
-416600989128625,108194911334564,137380224217873,190302559610978,615973067256374,-906547754429537,chanson
-37782700207687,197780345639776,-12302684225232,-131067119897979,167562497097169,-907949127655977,opera
-359908074771582,314438111028415,-134989597121148,-237873929438389,143618011744001,-904383083518206,easy listening
-40225673553936,816445294690566,-120710690408404,-381636636015214,300803102218891,-880982326305701,stand-up comedy
-409943261087705,-105533446050316,148232631213175,-444403673473632,529624397537875,-845666356691153,blues-rock
-405973464766594,270482179514308,-731748638064845,-486186524427426,164619365792022,-853645884848342,progressive house
-42640170079843,-601885361439993,16466370995811,35280929826333,-944015735230664,-811333557725417,free jazz
-390290372820803,13976809847022,655249011616168,793681739891068,769867023116798,-809533182549403,symphonic metal
-400950866297858,917015771435355,-132301811749762,282545689449403,-578470247346445,-802438744980347,zouk
-381420788701743,108525625664138,154457267234899,-279011666935273,214161434124383,-787659176784326,illbient
-382496057553382,107489775866745,735162667169146,-996041280539955,105082924750141,-777934873782865,jungle music
-409444861996771,-338473963149286,98779484353905,290270856209302,226941022349192,-748826182615277,black metal
-413934905470632,-890624284833566,-844419706512601,-177542556725754,-633674645373087,-745675986805978,jazz fusion
-383983564024917,682937462870261,-105852057541496,-792488695126492,880656497174239,-756256793503556,instrumental rock
-40652534079295,-70716469358135,150002766711904,-958390123763112,-991119492529269,-685357526977808,meditation
-387161641918535,511485355837251,105833270377058,-104838900598571,-155488301421625,-69418219312895,country rock
-392562732985989,-437840775820994,135474163833118,-211824301916203,115796242443565,-682355575471448,progressive house
-384369964471222,905527435268949,-169795682475693,-118560180691578,-584630899600128,-658673731664752,tech house
-39741480232674,-939396289616246,141046842375392,-11373830747263,-811810763303011,-647680388114228,modern rock
-392701966769408,-469849396086778,-120378042438844,428965880278465,-505277853737211,-684431736865741,gabba
-351986916770098,219619574120759,-106031400376334,-329691221582938,14950347853525,-696375789217312,latin jazz
-38781167301032,737493832374569,111862883135816,-157938218750863,-174685043345563,-656369176514454,blues-rock
-375208714992249,877087519173458,-13784823005702,-777157249010906,-824071473623916,-662466698631208,trance
-372586691651491,680847362657855,-151610167630487,-545553836158755,980993733045134,-663831836531799,protopunk
-386630117102371,-185050241164359,39366633545927,-262672706639276,-111283692953299,-614146278738821,chill-out
-194015078213629,215583086061283,-873871193761628,-713036008443587,200655428691242,819690004604106,classical
-393632214468025,-962268780420861,876193221095033,-466800646543314,-713623690816311,-607940226519489,progressive house
-361707505607686,147077416078466,-103234173699857,-164840433663196,-936830929202936,-631938934552063,hard trance
-360611681054113,104132977203688,-154294598826998,-239380865260622,113952772425625,-645421597437333,progressive house
-201056167999101,181398056409324,560505236240588,-20851031423981,650314734854873,259531301297153,soundtrack
-368963614511812,197411160384977,-713876284306422,178177738574897,817573351925684,-631428322803101,doo-wop
-344846275287816,279513908741492,-226973200875923,-454179513632821,776080393999323,-627095989630998,latin jazz
-373832489066909,-187417486978646,-165258167287085,-56498203520716,-285653876182869,-589614555975722,hip hop
-358453720376451,982529583830915,-146530214753822,-109267286155746,622097304378752,-596222550755318,grindcore
-371255377021688,-396602647930728,593299158765232,-39897872907798,207129298573044,-555260867947036,progressive house
-346863576220416,88283211086135,-137028820582382,-557102412741873,156492075301996,-581850337267285,progressive rock
-35080717523154,67511255851742,-507190428709718,196713756207739,190932796201348,-566429520735783,progressive rock
-376440970677196,-594118647341612,400365613139987,-616624048832721,-105386387298335,-52883113871478,tech house
-348500935464684,711817367017854,127187334301401,-750100527358496,10347116026899,-527373128616328,deep house
-349144663354753,625284396668237,359151953056567,583167973784316,220584775982754,-538369201607814,indie pop
-362735417559943,210363896650949,-153315850089928,-430780092305249,-445673526509255,-540212605851947,black metal
-349074341255901,239547858869728,230408299512484,281571881642154,-112332495471622,-519201364613194,progressive trance
-377391164669725,-106288045164673,114435867838769,953982537931688,417805981990293,-503526752401157,dance pop
-354938245473149,394927284185922,-124871284514117,-809460370923197,-372841304174472,-518969492078049,progressive trance
-342521292513291,527367722170722,149783437768129,-651882845365518,132306589261592,-478160989561437,new beat
-196672918472996,-916281639182108,10468937838437,-967423702106288,-102070812922527,118456099894939,post-grunge
-333317143932558,166373983850304,6477557541808,-24336255165118,10460679682283,-481773055774448,free jazz
-368631849508725,-842618224530799,148622664171342,-737185304290477,-911379550796062,-451734219562259,tech house
-359809016660581,-587411775134201,837595363864408,-123532271030357,483500306643024,-455284783973203,electronic
-364913133136673,-948777560472844,-917131684570636,-932223684948331,-723304021702159,-456723272355273,harmonica blues
-336137503292901,313471041666349,-694080013190301,601510220537532,-132235507383275,-480657903119185,soukous
-118160994237443,-119011832269796,656483665912922,-132951061573681,485686291813748,19560534244083,horror punk
-311649707418322,21110603864,502335490462147,-133011161382824,207119817444136,-452265040463733,chamber jazz
-333218740860301,188480684841441,257451574641539,-103732460648849,-705266721284367,-44662823614688,dub
-353764816872549,-761871030696578,-130316299294047,-99525925064916,232120736313484,-432154401874889,electronica
-366416778950302,-1102773767011,849652788807309,-32887902644695,-616547860727453,-414322563156807,tango
-354534729443938,-119567114568808,214283442953238,420500570314044,170163767484272,-404710583035992,blues-rock
-348231605119262,642847524063839,445825040699602,120543946442543,258710659095441,-396044203080774,country rock
-343591178292201,185628296409975,-668829805683764,157229480390124,-60779853490905,-415687640870813,progressive house
-354812123603871,-511081206761824,935050635195957,-109107711040121,-131091179739471,-381052318844304,folk metal
-329875626476106,905461201027205,105125011941566,-399554883785151,107994990941558,-381534863280871,brutal death metal
-313411397987199,17913505319209,-118438825409851,-144806195215519,943572809648287,-395508803789512,illbient
-330188791709877,124688692710086,-138664336905841,-52822384661718,61141348246158,-394087110267076,los angeles
-353112833249763,-1814823775739,985583823494943,-607087446613292,147067195155115,-361809030570381,post-grunge
-331084959107212,162195960587871,-912917115516221,183664660497767,-17587161418227,-383793772668295,hard bop
-335087367061257,709160400790029,-115307246672146,-859537882269933,-62678013866147,-360936395527991,deep house
-361604056044383,-149122768783763,104572073378775,-12700861055908,-264397133442226,-333518029269442,chill-out
-341826059357462,161992478406288,-982049352702111,174659428539238,-696779650264629,-36717731945354,neo soul
-343411386215653,-151932188196899,399800795409295,-772812361380679,-430070424070163,-339208082844853,progressive house
-334121721900981,10542330826252,337723192586712,-355096197398453,799213929958231,-331863389801192,progressive house
-320009879906031,116752009860008,-89646738509456,-206688332108356,-529138451736684,-335120991789793,electronic
-307643130114924,176140423798828,848465342623649,-213733219615972,45686986811438,-323784098627132,classical
-329448030582635,108733106911325,-131927597701865,-134905207092929,-135669781453008,-329157801546415,dance pop
-339231225057568,664388655767212,-133649031300417,257929632898822,-676917410408467,-331376109564613,stoner metal
-350206583198751,-940504273687918,-175321786819912,-490691573686055,-673270155733055,-31605721481242,progressive house
-346839924588483,-806265242093231,-879276543766951,-456570669219249,-147351706117385,-311180513138814,congo
-291587531521146,306103449365707,-122293129285186,-175549253111716,837376051790173,-334053095571465,smooth jazz
-328435349809769,-267822539333401,-189825689664901,-41270406455775,162072038490714,-3218579491037,blues-rock
-149224744481486,-388270090195963,-120388823329918,-10121327710241,803866671702208,145187291855483,country rock
-324586135935235,115754264425801,652367688364652,-969760183441126,364901846226172,-302909226895983,grindcore
-327420002671656,676703699188918,254548651698665,-934118011423882,-324181767578992,-295020184381221,grunge
-328016336772121,671820573009528,173503721325051,-178464578256123,-114392609270768,-280037295008266,folk-pop
-343107251957195,-667041530568213,-146668092274824,791891651622964,81533896459592,-302394799141113,heavy metal
-33060057927513,-633769569327706,126038376339693,-164375982450297,226240050392957,-266044840651342,tribal house
-33789622105919,-124920955212913,-11521728030457,-104338680426867,525996349738929,-272260718795898,progressive house
-351688241383814,-24001942257896,353412850729536,757112709311467,140996576801897,-258739998061694,experimental rock
-343940401781016,267075990072347,662566810252103,267206315274773,894414087393735,-280642540125299,techno
-328294034458097,366208000348709,-973311277946848,-469279672751161,-155463362992747,-28185195545843,tech house
-335321251500221,-561383342023764,139960642808291,-100484068203459,264397059399301,-256193813363985,dub
-337172814405586,-63015156060392,244430577045568,-515537096240926,18830209774755,-263383896598639,death metal
-323207786472132,8476237018141,-113153187132985,-106692703435611,-721676179300548,-274013806645279,roots reggae
-334118762112581,-220943894582898,-16614099625873,286742809319317,206789663409901,-270188670581276,grunge
-336356903256499,968681572636197,203896335902767,133919876241702,-590074545562561,-246503408773468,hard house
-310705676742413,218368748784274,123296767605985,-648331900689769,-669973423097915,-244885704089599,free jazz
-316413106319672,971649536127292,589992381931119,-184942168666036,-879352454337536,-235580749865014,breakbeat
-334979188107386,-417891344250553,-517968638342715,-23897419952833,-129768201633922,-238350805801063,black metal
-337583620003033,-948899867579996,-109662465868905,263495301678784,747301725316747,-23001575685033,tech house
-328809406513394,-277342815845769,610129672732633,-893225491104662,-906204726838455,-219337424961084,hard trance
-323978719533567,404778672889467,110853047896858,-177480845010027,-124653586804167,-214966585178159,hard trance
-31544651676262,14951822694842,-125031880589897,216689636423167,-181971861756156,-244238626995957,blues
-324407606660461,459800354723254,169537280201108,-471567297116029,-166738538183117,-214685194688607,freestyle
-346651815497639,482767974339853,-779599096047565,188757739566286,-176170083796956,-226017615554808,hard bop
-291187776397172,227845285108985,929047921414102,-636950924909774,22953629275595,-228440873691604,symphonic rock
-330627112698409,-102601763355872,-10721037334433,-276539761422423,870196616561518,-206576104588927,sympho black metal
-332816768580073,-119973616269229,123395292341059,-939618330579419,311041689082756,-184508123215185,heavy metal
-29066260410472,213500920706416,614128470932924,-694802225089196,174751613885369,-213893307923542,celtic
-310503480981689,292255897770182,-42534754644942,589311811707325,-148776278323031,-221955098918971,progressive house
-291063083974102,35001779194197,-368182947283469,12469969734512,123417383845824,-227739216606041,los angeles
-326705003848705,129370922644335,269606767792222,-159387271458726,-184899486485505,-179374646212696,electronica
-32496455462218,-332393131051915,117946153682873,-480425387766634,2561714072256,-174522034484881,progressive house
-31601999642001,576620548471188,-120243810127925,-867668669609733,-46077553162051,-189865053349955,chill-out
-311563725329765,336320806599764,376159561140924,-117897751882367,151516356743968,-183849135381425,techno
-311854182562199,215541875935919,606691715376438,-125955692742653,468039772166522,-17099645150478,country rock
-318201898973339,612474257003514,963623834853742,-81985576091332,520701670588521,-160206631538199,jazz funk
-30620671443584,691799412445055,123135627064177,-57730843249462,100150618619051,-167690192787796,progressive house
-314597172648249,101093088448013,-108485782280989,-146682782455186,-355101632511949,-167543114638386,jungle music
-319102002056897,-258255552768995,154895237467451,-947023806573316,-197507233732573,-14765137876604,disco
-316800306518056,-812390780191196,-112876717149111,-520988345442632,416876174454307,-167181415422055,chanson
-328454269269665,-554509788810438,-168209765756142,487414799889105,177641245913084,-167713189710296,dance rock
-330275064770859,-126225542585979,125475181213987,175917966479293,913375651456504,-141268853101315,art rock
-296618106377263,196238673337694,-663010423371111,-435406607937809,244573385363781,-171320734541416,early music
-308049940025145,640405078920954,771741026498034,-942284512678151,137171219896369,-147638343140076,tech house
-301352442931468,146193241604025,954714350482737,258487899670428,100346109339048,-1542489630919,comedy
-302703938563452,17639813574852,-918492761881772,611775952025923,444282166375667,-166090690986174,opera
-320868634578362,-165684753244935,-193919542646605,726041909751443,79124136660022,-145020750548096,breakbeat
-31991934647055,-847158032930966,-164717536223277,-956377807735524,402871958580085,-134515406843441,gabba
-309699983185837,482204613746699,182893109196787,-7552845714611,569985932070122,-138015498284652,progressive house
-720273698841905,157472577039331,-149293175227732,-183120033380147,-181832837437262,229124988794552,skate punk
-307134580126102,57478142386639,185265099486284,-101928256694104,-12891844215081,-133387700136714,trip hop
-31761370740378,-254591078241617,924909590055214,-106623250309426,-356982559438217,-119237796920738,eurodance
-315302647701579,141040956201679,940347486548237,153641454130019,-244058439026974,-13126077866969,kraut rock
-312073222180009,-305089986131029,19363239184215,459166522701197,187994378231515,-125238180918006,no wave
-308875326628457,395952529780067,462910299571919,-890289273527048,-950799304674768,-115401041364316,progressive house
-330427716776925,-108576330047642,114523971470248,-480443353972785,-717171167833247,-960878192574268,deep house
-312874550447468,-350867214217275,153816499049831,-124883161766472,-360348734322461,-9885405982297,progressive trance
-32047258647592,624313449980813,130135872898547,225595738963088,747158905100266,-116959408392105,dance rock
-312377949260365,241052400589304,392589234838857,-323532154181287,275977894294005,-104097191236195,country rock
-300008711456246,394834849284265,-379058141484127,-205752640009517,411424119754008,-102756068940169,blues-rock
-314382020781629,-446840694391882,14027408626389,-448760529276779,629951430791153,-911781237173681,breakbeat
-324064744688661,-114832982041964,298627943766155,-375182750059681,-152854607181552,-910121569450554,progressive house
-320903502650077,-669007321789307,-115242580597242,378921398503276,331023626140644,-966392696285554,viking metal
-144797021123056,705108657660845,-280752496965824,225689895815195,-375456490243432,166662498221461,ska
-308929777777066,172988863810033,-428332791118048,-99049818166541,-423930133319893,-904332309449363,kraut rock
-306203312430354,216316794838507,-856654242710105,125563009560765,-113943444085993,-108250204533763,latin jazz
-317374739277648,-230854272346554,997137653927352,509760327085736,34455304569193,-786260227557465,post-grunge
-278018586541568,285649531747447,-532517787353058,595693177459011,150914005584916,-111736135001744,orchestra
-328217487552651,618467269983208,976121358664857,123865500260424,-205551122742731,-788266841884138,stand-up comedy
-319078044728241,-105705263747621,-102557484223658,641784455272056,117640676683285,-784667711520134,dance rock
-291913818011661,865115936931701,-441339408432841,-69666123924207,104680736847177,-802955638038838,disco
-292873108897698,279935827031945,151548560377689,295910488731697,-110407216937441,-757027358030317,folk metal
-259885120116691,326416348830219,135672093515337,-649563523586949,287756311814351,-825098935487324,latin jazz
-295514128302517,259369406036797,120856829751101,452259415676799,-120731300334386,-675859501344671,progressive house
-294447778795847,113085284849626,39660895471041,-780073458294579,-425652060122554,-628869693299469,comedy
-294954991582305,634570094858978,140423468711833,-737829465044822,654941612299661,-565625823932879,cantonese pop
-294495222168057,24591388518658,-901058324136539,152221585542835,-993524795194204,-807144021140539,soul jazz
-293379521236441,141301417080302,435407995362577,-523658182671637,-181375243736324,-548090168717537,meditation
-170528576632048,151295806847429,594830983108153,-105324263784076,999112051877568,109421742216347,hip pop
-328590768385465,-178227645280852,125700933470481,346437282743974,-657953513534287,-238676755709961,progressive house
-310050343235596,-126700216133832,110759696985454,920706602228835,913639997618252,-452460251126888,illbient
-29582290044807,270680418112157,-721069949517712,699213886396688,-172218543663081,-606518472075916,progressive metal
-332751961368621,-163614977520566,811715866166596,111291777837051,-669511043599816,-23343667155603,techno
-268519428777953,370969826726779,-561100774249199,1392198645381,14925688558644,-662270970297922,latin jazz
-292253597019352,131436339607755,127484962522443,916146263484511,419515068583884,-260806972331494,patriotic
-318465358686531,-444665595867657,796082493932541,-192885098852433,-125494335546072,-928366683831042,breakbeat
-31029761410586,-716297898022519,-9352820622592,607973624269261,101500105729372,-235407966350906,doom metal
-308551107213443,938837248237356,-339569396994896,401278437681808,-161527421100152,-213814558379613,stoner metal
-302033040380033,-277464244308556,14253572310118,-447771592046824,73899080123841,-34703810624625,cumbia
-935489929663418,290985968410412,-358812480718424,114276890633544,223765508586251,246545358887483,hip pop
-288402340337162,673746076314082,133606454123729,-140987844794707,254025208121638,-113495194466445,free jazz
-277928415516788,172142444013116,635575727568159,-879617955760439,671202422790253,-17799678783286,jazz funk
-251326399183914,313114894385541,-134258117989361,-233197228832323,307370725078785,-430738279598568,religious music
-30146173280719,-174243343456437,295683996860086,826156179929309,159458780724809,-531104695583009,trip hop
-300595422180083,749312022904702,-447949848496825,-102873820715737,-161086958319995,-408733401996276,speed metal
-293183193471542,103363585767467,-472617080249176,-121958743678684,-109854014137562,-627737456139523,rock
-273575335183192,702752542019638,-120202450762245,-342353001746416,392728221007149,116516640830548,breakbeat
-294427755324392,669422836066083,-148516865676447,945160400871479,103207327111972,-485978523656187,blues-rock
-285421423332617,161242814972245,-711510109611256,-99913781577127,-820119896546699,778579082935028,instrumental rock
-288645797923526,11537755104974,-760139263809778,-150358905306687,-115533328046731,932177316350216,blues-rock
-29862843374114,-296012690827679,278868437924708,-679459661837062,359803364405139,273276082588561,roots reggae
-31497047252258,-895717421305109,-139209929628997,-335788514886737,-740011412748712,209320813346885,power pop
-308402454081281,-243123236675393,-123380405315274,-647839730112107,-138917089081271,199200675760078,soul jazz
-139269105944534,-509720358898242,-148889451913745,-439274149359355,674623325349969,162159876745735,glam rock
-307119949427053,-522608790200462,328631559105779,104984327313097,967463958425231,232624810775012,techno
-320662597153516,-177495250481109,125605519725795,-251134906055425,-893958603103247,456521078434032,progressive house
-29182998354397,619004838684598,171778808626782,-163657493096577,-966986324487694,421533206390085,progressive house
-318110019684901,-339759081232001,116187383264351,278233876086873,652499252138077,302623681016783,southern rock
-282141598961813,103720105271349,243362467666831,-905275086353451,395443906390749,282728811556144,tech house
-315433133924483,-510175795539491,182787172466997,221382767664215,554634227611137,386770375980151,hip hop
-295088212552502,203235244141892,-577590510758804,119529190862011,-129504088478638,148147342261703,trance
-305443475979973,-660730707469034,-145713158047912,208131542362855,31598830540914,288771898775959,happy hardcore
-287916548134218,106700996250906,-105019592722675,-139250452378614,-122728174616849,287124497504224,dance pop
-287928182485325,-640697567639577,298666652619621,-184829601853793,998514759321367,569191952392942,neo soul
-293212328709555,641554573781907,147153683195122,-138485031666183,-124993503399521,539759026589365,blues-rock
-201564495659739,-317962501295853,-164394374466747,28459248873885,161333541825094,10331566656761,rock
-283769636106265,274666322664662,288523840017664,-102854614568316,957235299450204,497949308919713,future jazz
-304179377681967,-469418353642026,-507391117191404,729399405645923,467366693965732,526746934010029,smooth jazz
-288538819118892,343603901525075,-131514860127286,-467090708475736,350149864993115,478385649372586,blues-rock
-297998524462853,375013414552272,907149439697008,-203793270948737,-768662566636914,6665689069649,boogaloo
-294364865371809,194535914776418,-859918481215202,124738791691446,-147308511837099,422752199606309,progressive house
-296270135111485,-235183281474019,629854787933241,-385208149050789,233685091863434,700232994219222,progressive house
-310096307736054,-602655331145706,459061932623088,-118547220512635,-110623297429339,737952751054137,neo soul
-296276310109723,251338179264826,-643018678225549,959469856358035,621491411963511,549025223545677,doom metal
-296653574518611,32996657759931,-301375008974421,905398998084153,-353323270386901,636351426830533,salsa
-285920674378835,38046159922977,127266238896711,-83504774651921,447260086081847,727435293493969,deep house
-291695218818256,351077639816786,-974787691431397,580061696041183,792655108659025,618076191416006,downtempo
-307595609847974,-280355105168198,-147412232889699,904027879641308,-127877487806416,623740151903527,jump blues
-323919640953326,-488178263179967,-100677609370583,284632137590212,-846126413048258,613283291686358,sympho black metal
-307764812819681,-196378165213948,596941039439809,-752957881808619,-147090032512189,80046291288316,tribal house
-205449183317282,-166677465009838,954544985957857,376876184799438,514026872322849,115292923828759,dance pop
-191053014600333,133572224428934,-251884422112089,-111940465912584,84481716381066,906499034455736,requiem
-275941505089962,143141903932085,653579875645716,559952673643738,126688501728624,772220530359583,new wave
-28278411999574,435968953492793,157532819800859,-104229420754713,297760959574715,974477876325806,breakbeat
-266555844202339,19779478979357,-704537988960822,-469177030317093,577384024024411,780010082846928,meditation
-282859597917631,629711694497134,107675294724901,-893759323742458,691175314390644,985550957469799,electric blues
-299739705838349,-139141796637774,563692342376898,755623483582159,1988369580505,107449904640646,experimental rock
-284333165057779,493432325894905,-772142406615047,-663375687389131,-90440524880722,101774882301772,chant
-263420403171369,126237669382039,-129406364815956,-146398296578788,932705608525687,970245853446125,chamber jazz
-273300022346976,116992355356521,147812590096369,-167850164432198,-493734855729353,124059036296756,tech house
-307190522106003,-180901911367312,115525787524215,53321211285339,107164753685688,132286694351275,dance rock
-296054337523246,-550605920953566,906069458739964,-65120336661136,-366570862884427,128516892906713,congo
-175163824487548,266991240868359,-705871137436476,708531469783326,-184836127171024,113539133029881,doom metal
-284483894818261,35955296538726,-128504447757091,548717364648901,932103067009639,102196311424933,latin jazz
-267100557144737,788511240338088,-136804244353398,-281218952690223,-318577465881238,112832608286954,hip hop
-291053334963705,-456361908772797,-611153189655401,181717022248822,872003073639784,115934192779603,noise rock
-303580798558026,614275920245073,963848382265502,251476893743589,381932503834895,123376647408199,blues-rock
-284270161257137,261154177344846,-157357362931534,-365543061554208,346980740520854,116545165201191,tech house
-276611408606453,763873088229262,-122224118413371,-285297867801248,467225480804902,118911411896975,progressive house
-296906882515839,-132706405703306,529049495557831,-371055742051149,654416836930903,141465063291247,grunge
-283904372734881,777397038201811,675426301941777,-330267641663999,-667685210098543,139831402260999,tribal house
-255118807204622,135875662555113,153641598065924,-13187386316461,190956373966691,14662539792276,rock steady
-313251346345671,-231513454745292,-656354779945953,250287228923034,-113716348596973,137444778491434,hip hop
-259829832346264,181463392045284,151245202681491,-532270788682071,119188709745425,14323906638676,serialism
-270100043268608,643174205058972,-194373446396642,-919426783262225,868178592836047,145412402655891,hard house
-285655221226689,318436790564075,554682874890279,-716353679296267,-787200422377429,155700673755336,hip hop
-285552160252657,227008275045841,133186253175971,-382706181655208,-141354187799119,152324273038091,zouk
-270409056390856,13430086714822,-170194165956434,-147663175652641,-860213371780584,147070854876313,progressive house
-29318302955751,269500883676732,184891417709648,-976795816253594,-204349575432269,168678027327307,illbient
-282439668182487,450973079459019,280276627824176,-149726268443381,-131031366339125,157857683907567,heavy metal
-275334319046765,826602840264658,305694002125999,-120796269527744,-582413941404852,153136526915025,instrumental pop
-111420650813612,101499502887757,-121442380655333,-1248528195674,892417024438077,174069491190066,classic country
-287418660691275,165915437155627,-626352828659779,145859905512489,-273929147083523,154809866782727,post-hardcore
-298105097259131,-260483619535523,115521790714726,-201228602643753,-146862825156186,174774765773773,progressive house
-272230576370093,1905659359912,-792351449183294,600341021348075,-294511568156102,143450909145625,free jazz
-124570728653771,-170915427191711,482486401609418,-119819258593314,645542065347755,184523616775774,melodic hardcore
-291961711533877,-108273417975702,993419619611359,443632904308888,852742476721673,181997853423612,industrial metal
-320173779269738,-132334195399567,512598233659524,316582715507791,-162708622529803,173428497089015,experimental rock
-273495531697184,574139631967308,-974240456042766,-777602023289401,117127546230005,164046694654386,heavy metal
-281335148251563,462523801253784,565544297097674,168625731409422,524741058040015,17682402384538,chill-out
-274164479664728,357353172349092,115667644929674,-748207669814629,391915522621305,177964234730503,progressive trance
-829077477938222,191188950713837,-126951700345593,-564606083369801,706476128143268,190805342718433,rockabilly
-279994431106253,546036623897159,599721453759284,-360204739277074,-483735992059456,185741630511067,downtempo
-262060324834537,2034248756026,-117674591871187,425452623191444,498147740564851,162340130089561,chill-out
-274501748798192,75803068470964,174516348031543,298282608641298,555021053513331,201386322725335,pop rock
-277536721355646,15241897054722,-447896705424275,-404522921530882,160379754509956,193161311743543,progressive house
-252545124968333,180118358834247,-832274573525175,-322316135082925,139418937742417,180568823167746,meditation
-275764095684341,-325113574167353,353322137394904,-5281266000061,543122638526703,202672732442497,progressive house
-899453669553949,83505903527927,-149131635137273,-549498881585285,269491512575884,194781556675555,brazilian pop music
-273399565818763,553050949343904,-933106593111425,41324066817363,399087687710521,19153455793571,new beat
-256885421833215,111101483544508,-162434520323324,807627064747203,274141184734959,177423620577508,space music
-110595661834992,-164190766953338,143189921219812,-911054840779789,586581117411873,184224765243663,neo-progressive
-265839863550871,557403098169481,416821128039371,-141500018214287,137721498648883,212941045765595,chanson
-274575867796413,493284364134145,-932402705975974,894011436643121,95558820582844,197782982181483,classic rock
-275227622174657,261135401245292,476560133073608,-102258536507238,-509923902082035,216936477921766,progressive trance
-267095867337274,151606219503421,791611758039576,789363862839041,520499583957756,204339653144554,ccm
-294882792355456,-53427157444631,221904200427331,223546591938208,-11475049791924,219291064730527,downtempo
-286304718628521,-633409330591249,-547519686900227,-48248173788222,-422506388343213,216866202444426,hard house
-263481648736392,100152294666415,-898759869483472,-539799280574324,423457160824809,203477764179872,future jazz
