artist.hotttnesss,song.hotttnesss,duration,key,loudness,tempo,terms,year,bars_confidence,bars_start,beats_confidence,beats_start,key_confidence,location,release.name,title,artist.name
3138661,407344288,77189179,8.0,-5221,119291,symphonic rock,0,258,55719,738,4363,581,Not available,One Night In Madrid,Funky Medley,Jeff Scott Soto
3138666,464152439,77035057,0.0,-18427,92731,opera,0,691,273871,691,273871,567,"Salzburg, Austria",Karajan and Bernstein: Beethoven Masterpieces,Symphony No. 7 in A Major_ Op. 92: I. Poco sostenuto - Vivace,Herbert von Karajan and Turin RAI Symphony Orchestra
3138666,693947935,75909179,2.0,-7192,0.0,post-hardcore,2009,0.0,0.0,0.0,0.0,548,"Seattle, Washington",Knives,Black Market Hell,Aiden
3138666,311559176,74540363,7.0,-13297,107983,progressive house,0,671,16717,0.0,16717,687,Not available,Marasma General,Finisterre (Live),Mau Mau
3138666,265861049,74336608,9.0,-16389,134491,meditation,1992,128,115109,827,24993,659,Not available,Sedona Suite,Sedona Suite (Sunrise/Prayer/Joy/Sunset),Tom Barabas
3138666,681546638,74046649,11.0,-10798,173468,alternative rock,2007,165,170195,433,38356,537,Not available,Selections For Friends,Song For A Friend (Live From Montalvo),Jason Mraz
3157572,334555146,73560771,9.0,-7662,161919,electro,2001,56,17096,363,17096,703,Not available,Juno,Juno,Zuma
3204178,453731586,73388363,6.0,-5591,126036,progressive house,0,94,141846,831,46859,0.0,"Mexico City, Mexico",The emFire Collection: Mixed_ Unmixed & Remixed,Who Killed Sparky?,Sasha
3268453,239629098,72492363,6.0,-13026,112.47,blues-rock,0,873,44936,557,44936,95,"Belfast, Northern Ireland",Rockin' Every Night (Gary Moore Live In Japan),I Can't Wait Until Tomorrow (Live),Gary Moore
3283663,32386075,72220689,9.0,-6435,200169,black metal,0,413,57857,401,57857,667,Not available,A Somber Wind From A Distant Shore,A Somber Wind from a Distant Shore (Album),Canis Dirus
3370893,386790177,71170567,7.0,-13186,108407,free jazz,2008,103,64835,0.49,6952,0.61,"Lee's Summit, MO",Day Trip/Tokyo Day Trip,Traveling Fast,Pat Metheny
3487022,317833879,69903628,1.0,-10179,100.53,free jazz,0,79,165281,0.0,44372,0.66,"Sicily Island, LA",Staying on the Watch,Metamorphosis,Sonny Simmons
3487022,453399083,69503955,0.0,-13093,142981,heavy metal,0,62,22768,431,22768,325,Arizona,"Parker's Birthday ""Live in Texas",Rock Bottom / Shoot Shoot,UFO
3663557,543954417,69357669,2.0,-5185,116055,instrumental rock,1984,369,37978,369,37978,412,"Carle Place, New York",Live In London,The Attitude Song,Steve Vai
4066861,421386113,69206159,0.0,-9479,121201,jazz funk,0,147,69594,776,20839,0.68,"Philadelphia, PA",Live At Tonic,D Shuffle Jam (Part 2),Christian McBride
4066861,393369406,68479955,7.0,-12114,125147,deep house,0,46,76309,811,28416,365,Not available,Wuz,Keep on dancin' (Last man standin'),Alex Gopher
4104772,49271364,67876526,11.0,-4002,140112,alternative metal,2008,46,94701,706,8524,346,"Orlando, FL",Shogun,Shogun [with fade_ for special edition],Trivium
4104772,307570294,67004036,2.0,-15469,144737,bebop,0,0.89,49355,745,4513,426,Not available,Art Blakey's Jazz Messengers_ Lausanne 1960 Part 2 / Swiss Radio Days_ Jazz Series Vol.6,A Night in Tunisia,Art Blakey's Jazz Messengers
4104772,389157892,66862975,9.0,-11403,86702,electric blues,0,863,54471,863,54471,631,"Indianola, MS",Chicago 1978,Please Come Back To Me - Live,Albert King
4150114,401486711,66324853,11.0,-10178,162384,heavy metal,1975,237,55958,854,17782,547,Not available,On Stage,Still I'm Sad,Rainbow
4165294,354934743,65802404,5.0,-17.16,116819,dark ambient,2000,559,665575,0.0,665575,136,Not available,That Which Remains,DoppelgA$?nger [Qliphothic Phantasmagoria],Coph Nia
4165294,533885537,18283057,2.0,-6172,106671,brill building pop,1964,1.0,25058,1.0,25058,879,"New York, NY",Phil Spector's Wall Of Sound Retrospective Phillies Sound 1961-1996,(The Best Part Of) Breakin' Up,The Ronettes
4165294,626612803,65428853,7.0,-5884,118433,alternative metal,2009,0.02,80159,385,29973,539,"Atlanta, GA",Crack The Skye,The Czar: Usurper/Escape/Martyr/Spiral (Album Version),Mastodon
4167621,787005469,65240771,2.0,-7863,121884,dance pop,1993,674,51355,1.0,3428,508,"New York, New York",The Remixes,Anytime You Need A Friend,Mariah Carey
4181931,438234414,65159791,4.0,-10718,86589,trip hop,2000,479,94818,662,24273,354,Not available,Now It's Spring,The Matter With You (Part I_ Ii_ Iii),Avril
4181931,548718667,64538077,9.0,-12793,120.36,chanson,2000,288,60625,495,12469,494,"London, England",Comatised,Paper Thin,Leona Naess
4181931,291264812,64292526,1.0,-21908,155641,opera,0,0.0,78132,0.0,39794,475,Not available,Verdi Arias,Quando io leggio... Son gli ebbri... O mio castel... Nell'argilla...,RamA3n Vargas
4181931,33310883,64148853,0.0,-25895,170899,easy listening,0,103,863647,31,648742,426,Not available,Danielpour: Concerto for Orchestra,Concerto for Orchestra (Zoroastrian Riddles) (1996)/3. Adagio non troppo,David Zinman;Pittsburgh Symphony Orchestra
4261497,368413733,63960771,1.0,-10825,121075,stand-up comedy,0,106,381278,337,8702,0.18,Not available,The Reality Chick,No Bad Oral Sex / Dick Dessert,Monique Marvez
4538815,415049772,63743955,11.0,-8814,118444,blues-rock,0,212,24561,745,24561,516,"San Francisco, California",Tropical Spirits Parts I & II,Fried Neckbones And Home Fries,Santana
4642775,388800313,63592444,3.0,-8229,129927,progressive house,0,91,321,671,321,0.05,London,Lixuneanos,Lixuneanos (Original Mix),Rui Da Silva
4662243,393945814,63234567,11.0,-9.8,71642,free jazz,1969,144,108897,199,108897,531,"Cleveland, OH",Nuits De La Fondation Maeght 1970,Music Is The Healing Force Of The Universe,Albert Ayler
4662243,356334749,62821832,7.0,-15442,77364,symphonic metal,0,0.0,6719,0.0,6719,215,Florida,Mimame BandoneA3n,Silencio De Aguas Profundas,Alas
4662243,311617485,62578893,0.0,-7164,89572,zouk,0,97,131456,285,6265,0.66,Not available,Les incontournables du Congo,Bennie,Koffi OlomidA(c)
4662243,471578248,62557995,11.0,-20665,111125,illbient,1995,0.0,104997,439,4961,127,Helsinki,Electric Doom Synthesis,Sense,Beherit
4695139,304169503,62372526,8.0,-15926,131578,jungle music,0,271,9991,0.65,43755,443,"London, England",The Master Musicians of Jajouka,The Truth Forever,The Master Musicians of Jajouka featuring Bachir Attar
4895687,475834302,62019873,9.0,-5283,91144,black metal,0,328,2716735,262,18022,216,TimiAoara,Maiastru Sfetnic,Plecaciunea mortii,Negura Bunget
5457307,463025076,61823955,3.0,-13.61,131292,jazz fusion,0,33,59221,165,23529,164,California,Lit'l Song,Unicorn,David Lynch
5457307,394394856,61782159,2.0,-13179,148505,instrumental rock,2003,103,314662,728,149308,746,"New York, NY",S.W.A.T.,Bullet Frenzy,Elliot Goldenthal
5457307,264481653,61095138,11.0,-18.5,127986,meditation,0,1.0,79772,0.0,33047,137,California,Drum Cargo - Rhythms of Wind,East Wind Drum Call,David & Steve Gordon
5890868,223887578,61001098,9.0,-8491,123261,country rock,0,0.24,52358,587,52358,39,Lanciano Italy,Live Warsaw 2000,I Heard It Throught The Grapevine,Creedence Clearwater Revived
6295148,541381381,60823465,11.0,-10289,127996,progressive house,2005,199,54024,1.0,7181,793,Not available,Till There Was You,Till There Was You (John Creamer & Stephane K Remix),Rachael Starr
7784201,265861049,60037179,4.0,-7512,83497,tech house,1995,112,189189,895,45317,287,"Aberdeen, Scotland",Trasmazonia,Transamazonia (Deep Dish No Doze Mix),Shamen
11561804,290174667,60011057,11.0,-22.54,144252,modern rock,0,417,78647,417,78647,133,Virginia,Bass Hits,Concertino for Bass Trombone and Trombone Choir,David Taylor
14519083,458400494,59924853,1.0,-3674,94535,gabba,0,82,113747,419,5045,718,Not available,Best Of Dwarf Records,Hardcore From The Underland,DJ Isaac
14519083,345174319,59862159,1.0,-21781,106932,latin jazz,0,791,512103,136,174642,344,"Havana, Cuba",Images: Live From Mt. Fuji,Giant Steps,Gonzalo Rubalcaba
14519083,46311834,59841261,9.0,-10.76,128239,blues-rock,0,968,42417,544,42417,741,"Nottingham, England",Live At The Filmore East,50_000 Miles Beneath My Brain (Live),Ten Years After
14519083,204562711,59499057,0.0,-6412,120002,trance,0,16,90749,964,41074,923,Not available,Mesmerise the Future,Flip Over And Upsidedown,Emotion Code
14519083,349037894,59485995,0.0,-9607,131184,protopunk,0,28,53218,0.0,6967,261,Not available,Keep Them Freaks A Rollin' - Live At Abbey Road,Out Demons Out (Live) (2004 Digital Remaster),The Edgar Broughton Band
14519083,327736683,59256118,9.0,-22.28,246593,chill-out,2007,0.05,229205,284,-375070,341,Not available,Premonition,Severe Severing,Klaus Badelt
14519083,341714731,34105424,2.0,-25127,131816,classical,0,818,30461,818,30461,0.32,Not available,Ultimate Baroque,1. Allegro,Eduardo Fernandez / Norbert Blume / English Chamber Orchestra / George Malcolm
14519083,386180416,59015791,9.0,-9.59,125055,progressive house,1992,139,64019,683,64019,45,"Essex, England",Renaissance The Classics,Perfect Motion,Sunscreem
14519083,29168584,59000118,1.0,-8729,136826,hard trance,1998,104,55905,1.0,11664,0.16,Not available,Perfect World,Wake Me Up,Richi M.
15726743,451648407,58987057,0.0,-15542,127999,progressive house,2006,45,101169,908,734,0.03,"New York, NY",Lost,Lost,Roger Sanchez
15726743,37757908,4131522,7.0,-19852,160246,soundtrack,0,0.65,356574,0.65,356574,439,Not available,Mendelssohn: Piano Concertos Nos.1 & 2 etc,1. Molto allegro con fuoco,Jean-Yves Thibaudet / Gewandhausorchester Leipzig / Herbert Blomstedt
15726743,434621853,58670975,1.0,-13818,75.22,doo-wop,0,43,1430108,767,42035,458,"FORT LAUDERDALE, Flevoland",EMI Comedy - Groucho Marx,Selling Jolson A Baseball Team,Groucho Marx
15726743,215080319,58629179,3.0,-21052,62008,latin jazz,0,589,37349,589,37349,454,"Havana, Cuba",Mi Gran Pasion,Cuatro Veinte,Gonzalo Rubalcaba
17819882,401486711,58070159,0.0,-4523,146331,hip hop,2005,79,410421,0.0,326138,821,Mass. - Boston,In Disgust We Trust,Shovel,Mistress
18721329,425417872,57944771,0.0,-12977,111011,grindcore,1973,134,20102,466,20102,123,Not available,Pescado Rabioso 2,A!Hola_ PequeA+-o Ser!,Pescado Rabioso
19936897,435127195,57579057,8.0,-6319,127968,progressive house,2004,48,115363,1.0,21569,328,"Wolcott, CT",Head Over Heels - Club Mixes,Head Over Heels,Sylvia Tosun
20835876,473700501,57558159,1.0,-17058,149423,progressive rock,1977,367,119575,345,79758,827,"Volos, Greece",3 Originals,3 + 3,Vangelis
20835876,588922168,57367465,4.0,-17629,119712,progressive rock,1990,836,11245,868,11245,0.66,"Volos, Greece",The City,Procession,Vangelis
21163373,306603641,57090567,7.0,-12.28,122967,tech house,0,9,115604,833,29463,792,Not available,El Fuego De Dentro,2190 Dias Contigo,Sven Tasnadi
21253109,349166902,56946893,10.0,-14698,124075,deep house,0,352,218082,0.0,24951,0.0,NY - New York City,The Singles Part 1,Floating (Edit),Beat Pharmacy
21690387,643470577,56899873,7.0,-18786,100648,indie pop,0,1,449402,0.0,330056,777,Not available,West Coast,Indo,Studio
22021045,352919184,56878975,0.0,-5408,128518,black metal,1998,637,89647,572,4319,355,"Athens, Greece",Doomed Dark Years,Voyage to eternal Life,Astarte
23345958,28831468,56596853,11.0,-11531,0.0,progressive trance,0,0.0,0.0,0.0,0.0,0.0,Not available,Mui Mal_ Animal,Mui Mal_ Animal,L.A.V.I
23451976,655283798,56494975,10.0,-4204,85318,dance pop,0,903,24322,903,24322,0.72,"Bay City, MI",Revolver,Revolver [Tracy Young's Shoot To Kill Remix],Madonna
23451976,293534925,56437506,1.0,-6709,137971,progressive trance,0,107,128626,287,83354,629,Not available,Audio Surfin',CrossBreed,Sound Field
23451976,402594332,55975138,11.0,-15303,126412,new beat,0,21,69251,0.0,22072,36,Washington,Henry Street Music Volume 11,The Fortway,Dirty Harry
23609882,377828215,27856934,10.0,-4842,156581,post-grunge,2000,194,508,194,508,538,Mass. - Boston,The Dream,11th Street,Open Hand
23869635,317845056,55768771,7.0,-18203,89868,free jazz,0,0.59,125941,87,25009,238,US,Lennie Tristano Quintet - Live In Toronto 1952,317 East 32nd,Lennie Tristano
23869635,306603641,55726975,11.0,-12.26,123993,tech house,0,114,95309,1.0,46982,259,Not available,Break The Night,Charisma,Sven Tasnadi
23869635,505487343,55606812,9.0,-6817,122984,electronic,2009,6,143053,965,45421,99,Stockholm,When I Grow Up,When I Grow Up,Fever Ray
23869635,377531645,55554567,3.0,-11.96,163085,harmonica blues,2001,16,130839,592,57635,0.0,"Detroit, MI",Smokin' Joint,Got To Let You Go,Kim Wilson
23869635,38670242,55468363,0.0,-12831,132.27,soukous,0,91,58481,683,1228,698,"Inongo, Zaire",Djessy,Djessy,Kanda Bongo Man
24305321,376563113,14685995,9.0,-4625,183512,horror punk,0,425,339,425,339,666,Not available,The Late_ Late Show,197666 w/ Special Guest The Confederate Crusader (Album Version),Wednesday 13's Frankenstein Drag Queens From Planet 13
24390983,265861049,55181016,7.0,-24997,142151,chamber jazz,1994,413,162756,684,78919,387,Not available,Island of Bows,Red Wind (World),R. Carlos Nakai
24479045,38293509,55154893,5.0,-11582,93328,dub,2007,46,85632,627,85632,503,Not available,Bliminal,We Meet at Last,Liquid Stranger
24906181,430160637,55097424,6.0,-5213,168474,electronica,2010,403,3951,918,3951,663,Earth,Every Other Way,Every Other Way,BT feat. JES
24913723,423356106,54938077,9.0,-16.8,124798,tango,0,575,60697,669,11516,0.34,"Le Cannet, France",New Musette,"Des voiliers (Sur un poA""me de Claude Nougaro)",Richard Galliano
24913723,773738815,54574975,7.0,-9465,142646,blues-rock,1969,0.17,64731,502,26564,407,Great Britain / UK,That Was Only Yesterday - An Introduction To,Evil Woman,Spooky Tooth
24913723,447935481,54397342,7.0,-8249,99644,country rock,2009,656,42303,656,42303,611,"Toronto, Ontario, Canada",The Things We Left Behind,Million Miles,Blue Rodeo
24913723,349166902,54358159,1.0,-10591,0.0,progressive house,0,0.0,0.0,0.0,0.0,433,London,Produced & Remixed,Chinz Ninja (Rui Da Silva mix),Smart Alex
24913723,431731431,54287628,9.0,-4456,109953,folk metal,0,336,49049,489,49049,0.65,Not available,Put Neprojdennyj,Dumy Moi-Zamicy Dal Nie...,Alkonost
24913723,373952779,54123057,9.0,-15586,109051,brutal death metal,0,197,161781,278,104608,0.0,"Nashville, Franklin, Brentwood",Wolfgang Amadeus Mozart: Requiem Mass_ K 626_ 1791,Requiem Mass_ K. 626_ 1791: Agnus Dei (Larghetto) (Mozart),Choir & Great Symphony Orchestra of the All-Union Radio_ N. Shpiller_ S. Krassovsky_ V. Gagarina & N
25109374,212045406,54049914,1.0,-18464,154045,illbient,0,0.02,165248,106,125167,0.45,Not available,Cycle de l'erance,Chiaroscuro,Francis Dhomont
25109374,279976025,54047302,0.0,-11946,116714,los angeles,2006,7,38842,899,38842,592,Not available,L'Album de la maturitA(c),Ouragan,Oldelaf et Monsieur D
25474644,682353618,54042077,11.0,-6676,183662,post-grunge,1995,258,41571,187,41571,653,Santa Barbara,Live&Greetings From the Flow State,Moisture,Dishwalla
25474644,278459179,53827873,1.0,-12169,70875,hard bop,2006,576,46167,576,46167,669,Not available,African Tarantella,From the Gardner Meditations: African Tarantella,Stefon Harris
25656218,224314282,53569261,1.0,-6983,128319,deep house,2005,36,127571,0.0,34578,629,"Isle of Wight, England",The Very Best Of Euphoric Dance Breakdown,Make A Move On Me,Joey Negro
25656218,528534452,53545751,10.0,-10.44,124136,chill-out,1998,156,20185,156,20185,792,Not available,Eclipse,Purple Pygmies,Walter Ego
25656218,390641236,53462159,0.0,-9158,122.91,neo soul,2006,4,92594,543,43786,443,United States,Joyful,Life Is Real,Ayo
25656218,305734031,53462159,7.0,-4757,130018,progressive house,0,0.0,93855,1.0,47587,12,"Austin, TX",Stereo + Video,Stereo + Video,D:Fuse vs The Scumfrog
25669968,451648407,53237506,7.0,-11049,127929,progressive house,2006,119,98983,777,28028,276,"New York, NY",Lost,Lost,Roger Sanchez
25706292,52041211,53161751,2.0,-9827,166015,electronic,2008,66,53281,632,18584,901,"Di?1/2orf, Germany",Minimum - Maximum,Autobahn (Live),Kraftwerk
25706292,40010771,53070322,8.0,-16958,152986,classical,0,47,656922,28,656922,82,"Montbrison, France",Messiaen : Edition,"Messiaen : Et exspecto resurrectionem mortuorum : IV ""Ils ressusciteront_ glorieux_ avec un nom nouveau",Pierre Boulez
25706292,60725728,53012853,0.0,-5432,130012,dance pop,2007,2,67646,756,21303,652,"Kentwood, LA; Los Angeles, CA",Break The Ice: Dance Remixes,Break The Ice,Britney Spears
25706292,345802234,52991955,0.0,-6076,85316,stoner metal,0,22,291397,681,10214,946,"Payson, UT",Serve The Ego,Serve The Ego (Hani Num Dub),Jewel
25706292,447784051,52903138,0.0,-6.56,155091,progressive house,0,527,75047,955,36589,19,UK - England - South East,Carheart,Be Elevator,Virus
25800158,255011258,52840444,2.0,-13.89,112752,congo,0,7,16378,752,16378,162,Not available,L'Incontournable,On ne meurt qu'une fois,Pamelo Mounk'a
25822409,34369745,52822159,0.0,-23178,137658,smooth jazz,0,49,310423,722,222953,516,"Neuilly-sur-Seine, France","Princesses / Un FrA""re","Grand FrA""re",Philippe Sarde
25889082,626760917,52814322,0.0,-12797,175663,blues-rock,1994,82,44732,0.57,6554,765,"Seattle, USA",Blues,Voodoo Chile Blues,Jimi Hendrix
25946271,414783863,22749995,2.0,-11812,176269,country rock,1998,1.0,3872,1.0,3872,944,Not available,EMI Years,19th Nervous Breakdown,Jason & The Scorchers
26173013,323112121,52621016,7.0,-13209,80754,grindcore,1973,519,37175,519,37175,0.0,Not available,Obras Cumbres Pescado Rabioso/ Invisible,Aguas Claras De Olimpos,Pescado Rabioso
26413278,215080319,52547873,6.0,-8575,121847,grunge,0,805,155059,698,47722,319,Georgia,Star Condemn'd,Endless Winter,Earth
26622954,3370893,52516526,11.0,-5602,127278,folk-pop,0,28,64665,855,17678,386,Oklahoma,Fire,Fire (Oscar G Space Vocal Mix),Dolce; Oscar G.
26622954,701040475,52487791,1.0,-7219,118101,heavy metal,1991,61,137814,0.0,35191,0.63,Not available,Use Your Illusion II,Locomotive (Complicity),Guns N' Roses
26622954,339345864,52189995,7.0,-6153,189331,tribal house,0,411,18289,758,18289,0.02,Not available,Once EP,Once,Del Horno
26622954,531213287,52179546,3.0,-4523,197011,progressive house,0,138,54388,559,23928,498,"London, England",Feelings Gone (feat. Sam Sparro),Feelings Gone (feat. Sam Sparro) (Joachim Garraud Remix),Basement Jaxx
26622954,824717771,52163873,9.0,-3741,174792,experimental rock,2003,388,158339,0.0,33217,446,"Long Beach, California",Deloused in the Comatorium,Take The Veil Cerpin Taxt,The Mars Volta
26622954,754274011,52156036,7.0,-10893,101.99,techno,1999,26,134057,931,16105,307,"Sevenoaks, United Kingdom",In Sides,Adnans,Orbital
26803784,359780053,52156036,2.0,-8274,128006,tech house,0,41,115214,781,68282,658,Not available,I Cant Fight This,I Cant Fight This,Marco Demark feat. Peter Millwood
26803784,345935702,52119465,11.0,-5543,145011,dub,0,6,61507,826,20046,0.0,Tennessee,My Turn,How It Begins,Ice & Breeze
26803784,450762242,52088118,7.0,-5532,141746,death metal,2004,0.04,173354,608,3904,344,"Helsinki, Finland",Wound Creations,The Last Round,Amoral
26803784,176392342,52004526,1.0,-7269,132084,roots reggae,0,597,38173,597,38173,0.0,Not available,"Cedric ""congo"" myton inna de yard",Wisdom,Cedric Myton
26803784,514753324,51913098,0.0,-6591,131642,grunge,1998,0.37,5553,0.0,5553,434,"Seattle, WA",Tomorrow Hit Today,"Beneath The Valley Of The Underdog (Album Version + Hidden Track ""Talkin' Randy Tate's..."")",Mudhoney
26803784,350285512,51756363,11.0,-7956,147.0,hard house,0,2,38511,808,38511,1.0,Not available,The Thrasher / The Wickedness,The Wickedness,Paul Glazby
26892279,24305321,51597016,8.0,-13103,61487,free jazz,0,172,-510517,537,41862,334,Not available,Zetrons,12 Seasons of Love,The Cosmosamatics
26957132,20655079,51565669,7.0,-7785,140021,breakbeat,2001,414,131953,763,4596,0.73,Florida,I See Stars - The Trance Album,Wonderland,Robin Fox
26957132,443291312,51536934,4.0,-4694,129088,black metal,2002,333,47166,656,47166,596,"Athens, Greece",Quod Superius Sicut Inferius,Oblivious Darkness,Astarte
26969355,633197379,51445506,6.0,-6368,130013,tech house,2004,0.0,11256,0.0,11256,437,Not available,Euphoria: A Decade of Trance Anthems,Is It A Sin,Deepest Blue
26969355,334937284,51356689,8.0,-5957,140997,hard trance,2000,15,85631,0.0,41037,258,Not available,Ahmea,Ahmea,Flutlicht
26995117,37130459,51343628,9.0,-4003,137896,hard trance,0,0.0,53681,943,14925,61,Not available,Rock Guitar,Rock Guitar,Corderoy
27210309,320345629,51291383,0.0,-12463,78958,blues,0,266,80879,947,5486,345,Not available,Shake The Devil Off,No Storm,Dorothy Norwood
27238546,265861049,51278322,11.0,-8575,95002,freestyle,1997,261,161357,0.82,37831,651,"Minneapolis, MN",Don't Be Afraid,Empty,Information Society
27238546,408609384,51121587,1.0,-17.68,134.83,hard bop,0,48,31996,626,31996,162,Not available,A Cloud Of Red Dust,And This Too Shall Pass,Stefon Harris
27238546,391370587,51116363,8.0,-26358,86666,symphonic rock,0,492,349205,92,91052,662,Not available,Puccini: Highlights From La Boheme,Sono andati? Fingevo di dormire,Montserrat CaballA(c);Placido Domingo;Vicente Sardinero;Judith Blegen;Sherrill Milnes;Georg Solti
27238546,621291654,50949179,3.0,-6664,165908,sympho black metal,2007,156,655,0.0,29448,459,"JyvA$?skylA$?, Finland",Hope,Doomed To Walk The Earth,Swallow The Sun
27380615,453391186,50896934,11.0,-4277,162733,heavy metal,0,26,45249,686,673,219,Norway,Live At Wacken Open Air 2006 - A Night Of Emperial Wrath,With Strength I Burn,Emperor
27380615,290988179,50889098,7.0,-23577,109936,celtic,0,79,32002,0.0,32002,1.0,Tennessee,Healing Waters,Reflections,David Arkenstone
27417478,32872297,50860363,1.0,-11516,130.07,progressive house,0,85,79185,554,32676,736,Not available,Discoteca Ep 2,G G Kah,Moonface
27595077,313119744,50802893,3.0,-25698,90.19,los angeles,0,546,54456,546,54456,118,"Mascouche, Qc",Faure: Complete Nocturnes - David Jalbert,Nocturne For Piano No. 5 In B Flat Major_ Op. 37,David Jalbert
27752948,43483809,50627873,6.0,-11.59,136003,electronica,2000,7,112184,1.0,2382,138,Earth,In Search Of Sunrise 1,Mercury & Solace,BT
27826354,405352011,50567791,10.0,-7255,125012,progressive house,0,234,119305,938,23454,777,Utah,Club Trafikana,Smoke,Trafik
27925576,253999077,50492036,1.0,-7321,135015,chill-out,2007,27,50229,1.0,5086,0.0,Not available,We Are One Remixes,We Are One,Kelly Sweet
27925576,543524277,50447628,6.0,-15046,123992,techno,2005,1,45225,956,6609,0.0,"Sevenoaks, United Kingdom",Halcyon - The Platinum Collection,Farenheit 303,Orbital
27925576,301681757,50405832,8.0,-10586,154172,country rock,2009,166,3209,0.0,3209,87,"New York, NY",G.I. JOE,The Joes Mobilize,Alan Silvestri
27951548,311983595,50269995,9.0,-8016,129245,jazz funk,0,423,29982,784,29982,665,"Osaka, Japan",Voodoo Crossing A Tribute To Jimi Hendrix,Voodoo Chile,Hiram Bullock
27951548,390624708,50186404,6.0,-14442,129988,progressive house,2004,957,89503,1.0,43242,41,Detroit,Emerald,Emerald,Bedrock
28222148,249065795,50183791,2.0,-6217,170063,jungle music,0,381,58918,914,23509,19,"Ewing, NJ",Resilience / Shadow World,Resilience,Pariah
